id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
11,256.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.320417393,0.370480992,28.23425966,3182.69865
12,340.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.611725787,0.502062222,43.17615175,8090.41713
13,539.0,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.46082121,0.402362581,32.62780351,5548.12201
14,324.0,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.509001253,0.459224426,37.07093657,6279.3385
15,522.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.425010896,0.409438226,32.5102476,4705.62653
16,285.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.578556842,0.488527456,40.4613306,7267.28344
17,444.0,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.488485703,0.41951938,36.82658691,5864.12845
18,467.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.425493214,0.427430828,33.52074419,4560.22361
19,174.0,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.500557995,0.444146829,35.84349356,6132.99793
20,678.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.463097152,0.428118259,33.58954163,5360.87391
21,668.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.593049003,0.492641907,41.17620131,7019.69438
22,50.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.42213693,0.414710939,33.32452765,4340.82151
23,293.0,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.545094508,0.468493268,38.3177098,6830.96605
24,555.0,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.514086408,0.455340281,36.2629303,6263.80788
25,261.0,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.544644313,0.449871489,36.67877702,6922.84679
26,732.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.545094508,0.466474508,37.45346655,6515.30587
27,664.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.551499227,0.455179564,38.65527495,6614.21931
28,454.0,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.603544257,0.50404651,42.83192591,6026.06365
29,453.0,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.50831235,0.415160646,36.04777028,6580.39696
30,303.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.517721232,0.454522205,36.36293728,5755.70016
31,386.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.538603678,0.446570029,37.03329756,6449.04157
32,599.0,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.524904141,0.436777234,34.60429153,6249.47082
33,358.0,12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.5561803,0.471249919,38.62163873,7064.16978
34,47.0,25.0,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.442626748,0.42727728,33.749712,4870.62537
35,489.0,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.410253857,0.392787396,30.057704,4460.91457
36,616.0,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.482854142,0.445238125,35.41408191,5596.22636
37,379.0,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.583378727,0.488005014,39.1606042,7690.1749
38,388.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.566645314,0.474798231,39.85898134,6948.2288
39,674.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.435969213,0.432754792,34.43568098,4808.60902
40,463.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.523070143,0.457772938,36.3623002,6500.09778
41,323.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.595065655,0.490981116,41.44744954,7317.95104
42,498.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.500058984,0.444139023,35.48700839,5700.24324
43,611.0,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.454737417,0.417908804,33.12590428,5360.87391
44,141.0,12.5,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.383786508,0.381851426,30.73453761,3900.34404
45,17.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.429092481,0.417915449,33.28905228,4926.27902
46,442.0,25.0,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.39617025,0.37718413,28.88711983,4218.32799
47,694.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.553729922,0.444139023,36.31114278,7714.3231
48,566.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.480707687,0.402855862,31.13021301,7016.89385
49,675.0,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.506987743,0.45807618,36.36293728,6591.78118
50,281.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.568062152,0.482859526,39.17159714,7706.88137
51,642.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.612633396,0.502740901,42.2784975,8634.77583
52,345.0,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.544066693,0.460180133,38.86811018,6702.78038
53,631.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.52332906,0.43226586,35.50033008,7907.24067
54,411.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.584016198,0.497978979,41.19101338,7443.62446
55,263.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.53255682,0.463561831,37.97024343,6331.86722
56,274.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.538604193,0.462760521,37.03174422,6503.27204
57,395.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.608455265,0.504526655,42.59849195,7895.0208
58,693.0,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.476054066,0.41985155,34.18362679,5696.02606
59,662.0,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.525063322,0.451012573,36.31114278,6249.47082
60,695.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.398976956,0.391617371,33.22890035,4218.32799
61,553.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.559215109,0.470373306,38.6454264,6862.90839
62,536.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.501777434,0.447536765,35.48700839,6117.4759
63,616.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566719686,0.463982188,39.15823782,7576.39253
64,461.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.488047919,0.445308404,35.48700839,5632.45917
65,633.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.458581988,0.426394344,33.08835541,5085.84473
66,691.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.553671368,0.471249919,38.143078,6528.79888
67,522.0,25.0,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.383581787,0.400102144,30.057704,3937.91539
68,716.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.601353783,0.493757519,41.22334958,7555.17159
69,245.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.479826829,0.41985155,32.15868546,4808.60902
70,10.0,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.334593591,0.379871916,27.10639138,3139.43255
71,575.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.426173511,0.398804938,31.00460557,4433.53697
72,522.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.489823352,0.445339632,33.23244939,4898.83586
73,333.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.494584864,0.448597173,35.11807556,5597.02216
74,704.0,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.362183686,0.388819023,29.37060684,3680.56025
75,241.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.469631675,0.434132503,33.84707944,5199.79211
76,232.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.478469338,0.413096652,36.66168432,5817.18527
77,596.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.579981861,0.484307576,40.48453443,7713.4796
78,636.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.564904359,0.486931048,38.6454264,6569.24967
79,424.0,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.455384537,0.407940293,31.11060535,5200.57849
80,428.0,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.564981991,0.473088807,39.81661146,6772.93347
81,224.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.421629852,0.42018755,31.38338142,4162.76156
82,233.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.47960301,0.42727728,34.60429153,5205.3203
83,697.0,25.0,0.5,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.531583632,0.457845739,37.81761708,6749.51819
84,11.0,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.386011221,0.397661192,30.5797224,4056.83427
85,594.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.498696418,0.455560504,36.81673726,5556.37228
86,571.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.392583006,0.393418576,30.79561296,3900.34404
87,729.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.498261098,0.431142084,35.17991165,5649.03716
88,564.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.561190143,0.471713424,38.17659701,6852.97971
89,729.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.569713565,0.488005014,40.82972076,8634.77583
90,459.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.538125922,0.447536765,37.03174422,7136.98445
91,586.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.545094508,0.468493268,38.6454264,6735.24371
92,35.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.390063566,0.386415506,29.83315835,3941.25512
93,773.0,25.0,0.5,0.38,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.619006054,0.529501569,43.0271829,7765.25632
94,579.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.46082121,0.427937649,34.33849206,5154.97591
95,227.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.607679197,0.501359058,42.40950749,7914.17118
96,238.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.622622866,0.513260507,43.7550339,8013.62631
97,738.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.481472551,0.411546877,33.95797729,5777.3754
98,716.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,3.77,0.06,0.386011221,0.397661192,30.79835142,4062.73953
99,409.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.575902218,0.486816771,39.49160012,6870.34212
100,278.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.490965919,0.442193092,35.8744954,5715.0084
101,224.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.542170237,0.461903766,37.70659201,6409.14001
102,438.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.597060641,0.497864974,41.71941614,7675.96352
103,234.0,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.585313688,0.48335599,40.65549833,7381.97333
104,91.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.249334678,0.35441498,35.80706195,2605.69676
105,693.0,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.561962455,0.479607332,39.18675925,7738.88171
106,80.0,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.435969213,0.428118259,33.23244939,4245.28573
107,346.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.547743879,0.436459223,36.88084855,6514.63899
108,516.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.496019026,0.441470296,35.61618557,5538.91301
109,544.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.496795174,0.448972519,35.97225667,5867.99722
110,361.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.50831235,0.429710486,35.31400484,6779.98166
111,617.0,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.406644523,0.388632634,30.057704,4254.82514
112,348.0,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.582604099,0.482547404,40.55501923,7122.49056
113,273.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.429000524,0.395435754,31.09005649,4945.79443
114,429.0,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.621810512,0.511053454,43.56159301,7231.02778
115,214.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.595065655,0.497978979,41.21921269,7626.61733
116,752.0,25.0,0.5,0.38,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.520637077,0.417486081,33.97877886,6244.19576
117,734.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.542170237,0.463064582,38.23520379,6663.00068
118,174.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.51425307,0.45386752,36.16604354,6072.83443
119,173.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.46082121,0.432109831,32.5102476,6412.47345
120,139.0,12.5,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.50476135,0.450021969,35.89837298,5852.8742
121,212.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.542831206,0.472468254,38.05729766,6746.4546
122,466.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.502621602,0.457845739,36.97636061,5830.48855
123,740.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.5143032,0.454917386,36.82658691,6239.53349
124,10.0,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.346410766,0.388819023,28.46200492,3502.08292
125,653.0,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.421629852,0.402182926,32.81579359,4493.64409
126,751.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.436893878,0.424657113,33.84753901,5178.27031
127,82.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.488485703,0.438630573,32.68039834,5498.46022
128,569.0,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.508675267,0.459464772,36.25083805,6772.93347
129,724.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.323727288,0.379871916,27.3454535,3373.43684
130,590.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.464365879,0.436996925,33.3649925,5128.16351
131,9.0,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.283055065,0.352186419,26.10117938,2688.02883
132,15.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.391598449,0.391582692,29.97539813,3911.42225
133,706.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.529163709,0.435764199,36.25720816,6595.45629
134,744.0,25.0,0.5,0.38,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.424778393,0.409760795,31.44841986,4546.78674
135,474.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.440365017,0.402226397,31.90931611,4587.38557
136,106.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.510668562,0.444658692,36.21076317,6608.04163
137,508.0,12.5,0.25,0.25,0.25,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.481204499,0.445308404,35.70587779,5632.45917
138,336.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.54613583,0.471592749,38.13991586,6901.65894
139,25.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.382036352,0.400102144,30.79835142,3901.98955
140,611.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.500189951,0.450692194,36.53244257,5575.39447
141,536.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.417072864,0.407126353,32.41723682,4705.62653
142,239.0,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.635017998,0.521522083,44.59947057,7136.98445
143,431.0,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.523845567,0.460369104,37.52543015,6276.41054
144,532.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.408487848,0.394461774,30.7671091,4281.52619
145,735.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.402052391,0.401236607,30.2352197,4010.55215
146,189.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.576469662,0.468338919,42.53222072,8562.37077
147,718.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.547283352,0.460796109,37.69400303,6515.26145
148,602.0,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.354086468,0.388819023,29.94364365,3396.72989
149,521.0,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.458581988,0.436865942,33.95797729,5837.21503
150,483.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.482854142,0.445134287,35.23885567,5637.9843
151,234.0,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.464368945,0.412661872,33.22890035,5945.89951
152,228.0,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.607679197,0.501359058,42.48753914,7713.4796
153,333.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.506742719,0.446450716,35.50564628,6157.05484
154,240.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.617635584,0.513171554,43.68715255,8173.5891
155,399.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.607679197,0.50952792,41.05919357,7765.25632
156,589.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.499125312,0.446570029,35.89130977,5009.96222
157,174.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.598814008,0.491124144,41.3159122,7548.34706
158,584.0,25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.469150447,0.423988312,32.62780351,5246.52146
159,441.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.425010896,0.41951938,33.95797729,5313.37828
160,334.0,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.579622441,0.474776543,39.46947609,7290.10652
161,188.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.563746659,0.472670389,39.64669117,6901.65894
162,241.0,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.47960301,0.417365455,34.66515546,5455.11891
163,447.0,12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.595712725,0.491901278,40.86547798,7548.34706
164,206.0,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.564794821,0.457772938,38.57716666,7510.79057
165,281.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.476178181,0.438669933,34.0430221,5596.22636
166,582.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.42213693,0.409760795,32.28899894,4162.76156
